,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
75,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-07-05 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO ,INGENIERA MECATRÓNICA,88,PRÁCTICAS PROFESIONALES,30/06/2022,193069,24,FALSO
76,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-10-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN ,93,POR PROMEDIO,14/09/2022,193090,23,FALSO
77,MÉXICO,MICHOACÁN,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-17 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,"87,98",POR PROMEDIO,06/03/2012,193152,38,VERDADERO
78,MÉXICO,SINALOA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-11-05 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,ING. EN INFORMÁTICA,"87,98",PRÁCTICAS PROFESIONALES,10/12/2018,193156,28,FALSO
79,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,PROTESTANTE,2023-11-05 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,"99,88",TESIS PROFESIONAL,23/06/2023,193154,22,VERDADERO
80,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-12-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,92,POR PROMEDIO,,193159,23,FALSO
81,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2023-05-18 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC. MERCADOTECNIA,"93,44",POR PROMEDIO,02/09/2021,193190,24,FALSO
82,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2023-05-19 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA MECATRONICA,"95,04",POR PROMEDIO,03/03/2021,193201,25,FALSO
83,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-19 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,"83,71",EXAMEN NACIONAL DE CALIDAD (CENEVAL),05/03/2011,193203,37,FALSO
84,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-05-22 00:00:00,FALSO,UNISON,LIC. EN MATEMÁTICAS,"83,91",TESIS PROFESIONAL,22/03/2023,193213,25,FALSO
85,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-23 00:00:00,FALSO,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INGENIERIA EN MECATRONICA,"87,56",EXAMEN NACIONAL DE CALIDAD (CENEVAL),24/04/2015,193219,32,FALSO
86,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2023-05-23 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,"97,21",TESIS PROFESIONAL,09/12/2015,193209,30,VERDADERO
87,MÉXICO,SONORA,HOMBRE,CASADO(A),0,NINGUNA RELIGIÓN,2023-05-23 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,"84,27",EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/12/2012,193229,37,FALSO
88,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-05-23 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,"93,75",POR PROMEDIO,02/02/2023,191220,25,FALSO
89,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2023-05-24 00:00:00,FALSO,UNIVERSIDAD KINO,INGENIERÍA EN SISTEMAS COMPUTACIONALES.,94,POR PROMEDIO,10/11/2023,193236,36,FALSO
90,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-24 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"86,63",EXAMEN NACIONAL DE CALIDAD (CENEVAL),09/04/2023,193093,24,VERDADERO
